Date,APPL,MSFT
1/3/2007,83.8,29.86
1/4/2007,85.66,29.81
1/5/2007,85.05,29.64
1/8/2007,85.47,29.93
1/9/2007,92.57,29.96
1/10/2007,97,29.66
1/11/2007,95.8,30.7
1/12/2007,94.62,31.21
1/16/2007,97.1,31.16
1/17/2007,94.95,31.1
1/18/2007,89.07,31
1/19/2007,88.5,31.11
1/22/2007,86.79,30.72
1/23/2007,85.7,30.74
1/24/2007,86.7,31.09
1/25/2007,86.25,30.45
1/26/2007,85.38,30.6
1/29/2007,85.94,30.53
1/30/2007,85.55,30.48
1/31/2007,85.73,30.86
2/1/2007,84.74,30.56
2/2/2007,84.75,30.19
2/5/2007,83.94,29.61
2/6/2007,84.15,29.51
2/7/2007,86.15,29.37
2/8/2007,86.18,29.26
2/9/2007,83.27,28.98
2/12/2007,84.88,28.94
2/13/2007,84.7,29.01
2/14/2007,85.3,29.4
2/15/2007,85.21,29.46
2/16/2007,84.83,28.74
2/20/2007,85.9,28.83
2/21/2007,89.2,29.35
2/22/2007,89.51,29.39
2/23/2007,89.07,28.9
2/26/2007,88.51,29.07
2/27/2007,83.93,27.87
2/28/2007,84.61,28.17
3/1/2007,87.06,28.09
3/2/2007,85.41,27.76
3/5/2007,86.32,27.55
3/6/2007,88.19,27.83
3/7/2007,87.72,27.61
3/8/2007,88,27.32
3/9/2007,87.97,27.29
3/12/2007,89.87,27.44
3/13/2007,88.4,26.72
3/14/2007,90,27.4
3/15/2007,89.57,27.28
3/16/2007,89.59,27.33
3/19/2007,91.13,27.83
3/20/2007,91.48,27.84
3/21/2007,93.87,28.52
3/22/2007,93.96,28.27
3/23/2007,93.52,28.02
3/26/2007,95.85,28.22
3/27/2007,95.46,27.72
3/28/2007,93.24,27.64
3/29/2007,93.75,27.75
3/30/2007,92.91,27.87
4/2/2007,93.65,27.74
4/3/2007,94.5,27.87
4/4/2007,94.27,28.5
4/5/2007,94.68,28.55
4/9/2007,93.65,28.57
4/10/2007,94.25,28.4
4/11/2007,92.59,28.11
4/12/2007,92.19,28.54
4/13/2007,90.24,28.61
4/16/2007,91.43,28.73
4/17/2007,90.35,28.85
4/18/2007,90.4,28.6
4/19/2007,90.27,28.69
4/20/2007,90.97,29.02
4/23/2007,93.51,28.78
4/24/2007,93.24,28.79
4/25/2007,95.35,28.99
4/26/2007,98.84,29.1
4/27/2007,99.92,30.12
4/30/2007,99.8,29.94
5/1/2007,99.47,30.4
5/2/2007,100.39,30.61
5/3/2007,100.4,30.97
5/4/2007,100.81,30.56
5/7/2007,103.92,30.71
5/8/2007,105.06,30.75
5/9/2007,106.88,30.78
5/10/2007,107.34,30.58
5/11/2007,108.74,30.89
5/14/2007,109.36,30.97
5/15/2007,107.52,30.9
5/16/2007,107.34,31.07
5/17/2007,109.44,30.98
5/18/2007,110.02,30.83
5/21/2007,111.98,31.05
5/22/2007,113.54,30.69
5/23/2007,112.89,30.58
5/24/2007,110.69,30.17
5/25/2007,113.62,30.48
5/29/2007,114.35,30.79
